ID,Nombre,Dirección,Ciudad,País,Teléfono,Horario,Instagram,Tipo,Estado
28,"Kundi Pets","Pocuro 1875, local 9","Providencia","CL","+56 9 3423 7023","Lun-Sáb: 9:30-20 | Dom: 9:30-15","https://www.instagram.com/kundi.CL","physical","active"
29,"RazasPet (Seminario)","Seminario 502","Providencia","CL","+56 9 5447 8959","Lun-Vie: 10-20 | Sáb: 10:30-20",,"physical","active"
30,"RazasPet (Los Leones)","Av. Los Leones 211","Providencia","CL","+56 9 5447 8959","Lun-Vie: 10-20 | Sáb: 10:30-20",,"physical","active"
31,"Mr Pet Animal","Av. Pedro de Valdivia 195D","Providencia","CL","+56 9 4036 5888","Lun-Vie: 9-15 | Sáb: 10-14","https://www.instagram.com/mrpetanimal.CL","physical","active"
32,"4Pets","Av. El Canal 19999, C. de los Valles","Pudahuel","CL","+56 9 3496 6535","Lun-Sáb: 10-20 | Dom: 10:30-14","https://www.instagram.com/comercial4pets","physical","active"
33,"Cat Dog","León Rojo 8981","Pudahuel","CL","+56 9 9890 2957","Lun-Sáb: 11-21","https://www.instagram.com/alimentos_catdog","physical","active"
34,"Firulais Creta Norte","Creta Norte 3445","Puente Alto","CL","+56 9 7380 8856","Lun-Sáb: 10-20 | Dom: 10-16","https://www.instagram.com/firulaiscretanorte","physical","active"
35,"Amor del Bueno","Av. Troncal San Francisco 3205","Puente Alto","CL","+56 9 9305 2198","Lun-Vie: 10-19 | Sáb: 10-18","https://www.instagram.com/amordelbuenomascota","physical","active"
36,"Amigales.CL","Compañía de Jesús 1214, Espacio M","Santiago","CL","+56 9 5135 7426","Lun-Jue: 9:30-19:30 (cortado)","https://www.instagram.com/amigales.CL","physical","active"
37,"Pethome","José Toribio Medina 99","Santiago","CL","+56 9 5648 0485","Lun-Sáb: 11-19","https://www.instagram.com/pethomechile","physical","active"
38,"RazasPet (Barra)","José Miguel de la Barra 456","Santiago","CL","+56 9 5447 8959","Lun-Vie: 10-20 | Sáb: 10:30-20",,"physical","active"
39,"Pet Shop Paul","Av. Portales Oriente 1440","San Bernardo","CL","+56 9 2259 8717","Lun-Sáb: 10:00-20:30",,"physical","active"
40,"RazasPet (San Miguel)","Gran Avenida 4251","San Miguel","CL","+56 9 5447 8959","Lun-Vie: 10-20 | Sáb: 10:30-20",,"physical","active"
41,"Mr Pet Animal (Vitacura)","Los Cobres de Vitacura, Local A07","Vitacura","CL","+56 9 4036 5888","Lun-Vie: 9-15 | Sáb: 10-14",,"physical","active"
42,"Catalina Latorre (AniFeeding)","Chicureo, Colina, Región Metropolitana, Chile","Chicureo","CL","+56 9 9441 2763",,"https://www.instagram.com/anifeeding?igsh=MW5wNHlicjBybThycA==","online","active"
43,"Pups Pet Supply Spa","La Cisterna, Región Metropolitana, Chile","La Cisterna","CL",,,"https://www.instagram.com/pups.petsupply?igsh=ZnBiN3FxaHcxZDQz","online","active"
44,"TodoPets CL","Las Condes, Región Metropolitana, Chile","Las Condes","CL",,,"https://www.instagram.com/todopetschile?igsh=MXNlY3dpM2M5aGNkbA==","online","active"
45,"SoyPet.CL","Av. Perú 761, Recoleta","Recoleta","CL","+56 9 5635 3931","Lunes a Sábado: 12:00 - 20:00","https://www.instagram.com/soypet_oficial?igsh=MTFrZTdybmU5bmRuZw==","online","active"
46,"Bungy Pets","Arica y Parinacota, Chile","Arica","CL","+56 9 5620 3844",,,"online","active"
47,"AyudaPet","Iquique, Tarapacá, Chile","Iquique","CL","+56 9 8163 5334",,,"online","active"
48,"Vet Iquique","Iquique, Tarapacá, Chile","Iquique","CL","+56 9 9295 9254",,,"online","active"
49,"Comercializadora For Pets","Antofagasta, Chile","Antofagasta","CL","+56 9 6454 3556",,,"online","active"
50,"Camada PetShop","Concón, Valparaíso, Chile","Concón","CL","+56 9 7742 6138",,,"online","active"
51,"Súper Mascotas","Viña del Mar, Valparaíso, Chile","Viña del Mar","CL","+56 9 8451 0025",,,"online","active"
52,"Como Gatos y Perros","Valparaíso, Chile","Valparaíso","CL","+56 9 4442 1551",,,"online","active"
53,"Provet Farmacia","Rancagua, O'Higgins, Chile","Rancagua","CL",,,"https://www.instagram.com/provetfarmacia/","online","active"
54,"Muevelacolita Sisi","Talca, Maule, Chile","Talca","CL",,,"https://www.instagram.com/muevelacolita_sisi","online","active"
55,"HVC Concepción","Concepción, Bío Bío, Chile","Concepción","CL",,,"https://www.instagram.com/hvc.concepcion?igsh=eGl0anVoNWpxM3V2","online","active"
56,"Comida Mascotas TCO","Temuco, Araucanía, Chile","Temuco","CL",,,"https://www.instagram.com/comidamascotas_tco","online","active"
57,"Small Pets Puerto Montt","Puerto Montt, Los Lagos, Chile","Puerto Montt","CL","+56 9 7209 5744",,,"online","active"
58,"Enoch Morón","Av. Flavio Reyes, Barrio Umiña","Manta","EC","+593 95 958 3655",,,"physical","active"
59,"City Pet","Guayaquil, Ecuador","Guayaquil","EC","+593 98 008 2032",,"https://www.instagram.com/citypetec/?hl=es","online","active"
60,"Dr. Pet (Vía a la costa)","Km 9.8 vía a la costa","Guayaquil","EC","+593 99 504 8598",,"https://www.instagram.com/drpetguayaquil/?hl=es","physical","active"
61,"Pet Point La Joya","Plaza tía la Joya, locales 17 y 18","Daule","EC","+593 98 501 3548",,"https://www.instagram.com/petpointec/?hl=es","physical","active"
62,"Empire Pet's","Guayaquil, Ecuador","Guayaquil","EC","+593 99 029 9017",,"https://www.instagram.com/empirepets_ec/?locale=th-TH&hl=en","online","active"
63,"El Avicultor","Guayaquil, Ecuador","Guayaquil","EC","+593 96 399 1023",,,"online","active"
64,"Vet Spirit Clínica Veterinaria","Guayaquil, Ecuador","Guayaquil","EC",,,"https://www.instagram.com/p/DKM7cAyOWsA/","online","active"
65,"DOGE Petshop & Grooming","Guayaquil, Ecuador","Guayaquil","EC","+593 99 925 8422",,"https://www.instagram.com/dogepetshop/","online","active"
66,"Dr. Pet (Circunvalación)","Circunvalación Sur 216","Guayaquil","EC","+593 98 636 3000",,"https://www.instagram.com/drpetguayaquil","physical","active"
67,"Pet's Point (Av. 12 de Octubre)","Av. 12 de octubre y Orellana","Cuenca","EC","+593 98 572 5025",,"https://www.instagram.com/petspoint.ec/","physical","active"
68,"María Rodríguez","Av. Villa España, Calle 2 Salamanca","Guayaquil","EC","+593 99 153 2076",,,"online","inactive"
69,"Erika León","Parque Chile","Guayaquil","EC","+593 99 731 8399",,,"physical","active"
70,"Pet Point Buena Vista Plaza","Av. Samborondon 1, Samborondon 092301","Guayaquil","EC","+593 4 393 0160",,"https://www.instagram.com/petspoint.ec/","physical","active"
71,"Farmapet","Olmedo y Guayas","Machala","EC","+593 98 738 6772",,,"physical","active"
72,"Supercan","Olmedo & Guayas, Machala, Ecuador","Machala","EC","+593 93 960 5759",,,"physical","active"
73,"Veterinaria Dr. Correa","Sucre y Santa Rosa","Machala","EC","+593 99 887 2163",,,"online","inactive"
74,"Vinyo","Napoleón Mera y Rocafuerte","Machala","EC","+593 99 927 8968",,,"physical","active"
75,"VetCirugía","Buenavista y 9na Norte","Machala","EC","+593 99 597 5026",,,"physical","active"
76,"Consultorio Veterinario León","1º de Mayo y 10 de Agosto","Huaquillas","EC","+593 96 988 2396",,,"physical","active"
77,"Dylan","Av. La República","Huaquillas","EC","+593 99 283 1470",,,"physical","active"
78,"Veterinaria San Pablo","Calle VP","El Guabo","EC","+593 96 883 3375",,,"physical","active"
79,"Hospital Veterinario de Especialidades Sinaí","Quito, Ecuador","Quito","EC","+593 97 920 8000",,"https://www.instagram.com/hvdes.ec/?hl=es","online","active"
80,"Cachorritos Shopping","Quito, Ecuador","Quito","EC","+593 99 874 0972",,,"online","active"
81,"Doge Petshop (Puembo)","Puembo, Ecuador","Puembo","EC","+593 98 364 7799",,,"online","active"
82,"Pets Point (Intervalles)","Av. 2 de Agosto, Quito, Ecuador","Quito","EC","+593 98 572 5025",,,"physical","active"
83,"Vet Spirit (Tumbaco)","Tumbaco, Ecuador","Quito","EC","+593 98 398 9951",,,"online","active"
84,"Lord Guau","Cumbayá, Quito, Ecuador","Quito","EC","+593 99 949 2899",,,"online","active"
85,"VetSalud","Av. América y Villalengua","Quito","EC","+593 96 243 2800",,,"physical","active"
86,"Pet Stylists","Cumbayá, Quito, Ecuador","Quito","EC","+593 98 450 6450",,,"online","active"
87,"Vet Care Center (Sangolquí)","Sangolquí","Quito","EC","+593 98 425 2136",,,"physical","active"
88,"Vet Care Center (La Coruña)","La Coruña","Quito","EC","+593 99 994 1093",,,"physical","active"
89,"Vet Care Center (Cumbayá)","Cumbayá (reservorio)","Quito","EC","+593 98 326 4447",,,"physical","active"
90,"Mascotamoda","Av. Rubio de Arévalo y Valladolid","Quito","EC","+593 99 560 9758",,,"physical","active"
91,"Con Patitas","Av. Diez de Agosto y Eloy Alfaro","Quito","EC","+593 97 931 1251",,,"physical","active"
92,"Pet Shop Mundo Animal (Llano Grande)","Av. Carapungo Oe8-500 y Calixto Muzo Sector Llano Grande","Quito","EC","+593 99 362 9877",,,"physical","active"
93,"Pet Shop Mundo Animal (La Kennedy)","Gonzalo Zaldumbide y Víctor Garcés La Kennedy","Quito","EC","+593 99 362 9877",,,"physical","active"
94,"Cachorritos (La Kennedy)","Capitán Ramón Borja E4-76 y César Dávila sector La Kennedy","Quito","EC","+593 99 874 0972",,,"physical","active"
95,"Hospital Sinaí (La Prensa)","Av. De La Prensa 70-174","Quito","EC","+593 97 920 8000",,,"physical","active"
96,"Comisariato de la Mascota República","Antonio de Ulloa y Av. Republica","Quito","EC","+593 99 957 5940",,,"physical","active"
97,"Comisariato de la Mascota Portugal","Portugal y 6 de Diciembre","Quito","EC","+593 99 955 9659",,,"physical","active"
98,"Comisariato de la Mascota 6 De Diciembre","Av. De Los Granados E10-245 y Av. 6 De Diciembre, Esquina","Quito","EC","+593 99 056 7640",,,"physical","active"
99,"Guau Wash Peluquería canina","Manuel de Echeandia N76, Quito 170303","Quito","EC","+593 99 274 3867",,,"physical","active"
100,"Alimpet","Ambato, Ecuador","Ambato","EC","+593 99 194 0957",,,"online","active"
101,"Clínica Veterinaria Royal Hound","Ambato, Ecuador","Ambato","EC","+593 99 557 1188",,,"online","active"
102,"Carlos Emilio Grijalva","Carlos Emilio Grijalva 25, Ibarra, Ecuador","Ibarra","EC","+593 98 396 2309",,,"physical","active"
103,"Dr. Jhonatan Benítez","Loja, Ecuador","Loja","EC","+593 96 956 4318",,,"online","active"
104,"Tekel Vet","Loja, Ecuador","Loja","EC","+593 99 121 6605",,,"online","active"
105,"Adolfo Morán","1 De Mayo","Portoviejo","EC","+593 99 658 5593",,,"physical","active"
106,"Albergue El Perro Feliz","Via S. Clemente","Bahía de Caráquez","EC","+593 99 783 6187",,,"physical","active"
107,"VetsClinic","Av. 10 de Agosto y Pichincha","Quito","EC","+593 99 250 4508",,,"physical","active"
108,"Love Wash","Alfonso Moreno Mora y José Escudero Reyes","Cuenca","EC","+593 98 383 9836",,,"physical","active"
109,"Vet COB","Jacinto Jijón y González Suárez","Cuenca","EC","+593 98 085 5500",,,"physical","active"
110,"Hernán Aguirre","Mercado 12 de Abril","Cuenca","EC","+593 99 257 6865",,,"physical","active"
111,"Adrián Calle","Ricaurte, Ecuador","Ricaurte","EC","+593 98 283 8630",,,"physical","active"
112,"Franco Morales","Centro Cuenca","Cuenca","EC","+593 98 398 1771",,,"physical","active"
113,"Pet Hospital","Calle Ramón Peralta #34 esquina Onésimo Jiménez","Santiago de los Caballeros","DO","+1 809 850 2143",,"https://www.instagram.com/pethospitalrd?igsh=MWtkbWRwOW1ybDg1aA==","physical","active"
114,"Mundo Animal","Av. 27 Feb,No.35 Esq. Germán Soriano","Santiago de los Caballeros","DO","+1 809 971 6339",,"https://www.instagram.com/mundoanimalclinicaveterinaria?igsh=MWc4ZW1mM3doamMxeQ==","physical","active"
115,"Zoona Animal","Calle Federico C. Álvarez, esq. Aquiles Ramírez #38 Reparto Oquet, Los Jardines","Santiago de los Caballeros","DO","+1 809 612 7067",,"https://www.instagram.com/zoonaanimalvet?igsh=MWRhYmRpaXhoMDN6YQ==","physical","active"
116,"Vetboca","Independencia #25 centro de la ciudad, Santiago de los Caballeros","Santiago de los Caballeros","DO","+1 809 350 9000",,"https://www.instagram.com/vetbocard?igsh=MW10dml1Z3g2MWM0Zw==","physical","active"
117,"Cera Vet","Av. Yapur Dumit Esq. Valle Verde 1","Santiago de los Caballeros","DO","+1 809 610 4820",,"https://www.instagram.com/ceraveterinaria?igsh=MXU4Z3hlYTdqaXJheA==","physical","active"
118,"Cachita","Calle 20, La Española","Santo Domingo","DO","+1 809 226 1576",,"https://www.instagram.com/cvcachita?igsh=MW1qMGV6bWpieHloOA==","physical","active"
119,"Zoolandia","C. Marginal #12, Los Alamos","Santiago de los Caballeros","DO","+1 809 806 8440",,"https://www.instagram.com/zoolandiard?igsh=MWk1cmhubjlubXIxMg==","physical","active"
120,"Super Mascota 1","Carretera Don Pedro #28 esq C/Primera Hoya Del Caimito","Santiago de los Caballeros","DO","+1 809276 9878",,"https://www.instagram.com/vetsupermascotard?igsh=bXVmYWJ2MHNvdXNr","physical","active"
121,"Super Mascota 2",,"Santiago","DO",,,"https://www.instagram.com/vetsupermascotard?igsh=bXVmYWJ2MHNvdXNr","online","inactive"
122,"Pet Palace","C.9, Santiago de los Caballeros 51000","Santiago de los Caballeros","DO","+1 829 820 2023",,"https://www.instagram.com/petpalace_stgo?igsh=NzJtNTlpbmcyb2Y0","physical","active"
123,"Dog Planet","Av. Rafael Vidal #7, El Embrujo","Santiago de los Caballeros","DO","+1 809 669 2121",,"https://www.instagram.com/dogplanet.rd?igsh=MXU0cHRlZjYyZ2Z4dQ==","physical","active"
124,"Hda Urbana",,"Santiago","DO",,,"online","inactive"
125,"Colita Feliz","Matanzas, República Dominicana","Matanzas","DO","+1 829 934 8895",,"https://www.instagram.com/clinica_vet_colita_feliz?igsh=MXg4amh6djNobWZjYg==","physical","active"
126,"Ed Paradise","Santiago, República Dominicana","Santiago","DO","+1 849 476 5050",,"https://www.instagram.com/animalparadise.pet?igsh=bm5lYW15N3cwaHU4","physical","active"
127,"Elite Animals",,"Santiago","DO",,,"online","inactive"
128,"Happy Pet",,"Santiago","DO",,,"online","inactive"
129,"Mascotitas",,"Santiago","DO",,,"online","inactive"
130,"Caninn","Calle B, Santiago de los Caballeros","Santiago de los Caballeros","DO","+1 829 577 2141",,"https://www.instagram.com/caninnrd?igsh=Mmo4ODZpM2d2Nmhl","physical","active"
131,"Groovet","Plaza Mariano Escoto, Av. Rómulo Betancour 65","Santo Domingo","DO","+1 829 953 3344",,"https://www.instagram.com/groovet.rd?igsh=bGJycTRmNWN6NXUx","physical","active"
132,"Cachorrolandia","Bella Vista, Calle Gaspar Polanco #322","Santo Domingo","DO","+1 849 803 4587",,"https://www.instagram.com/cachorrolandia.petshop?igsh=ejJ6YTNjbTQ0eXMz","physical","active"
133,"Fido Pet Shop",,"Distrito Nacional","DO",,,"online","inactive"
134,"Waggy Tails",,"Distrito Nacional","DO",,,"online","inactive"
135,"Animals","C. Republica Dominicana, 42000 Bonao, República Dominicana","Bonao","DO",,,"physical","active"
136,"Dr Mena","C/ 1ra Res. Doña Dilia, edif. A local 105, 11106","Santo Domingo","DO","+1 809 532 8293",,"https://www.instagram.com/veterinariamena?igsh=MTBrN3MxdHhtOWZvMw==","physical","active"
137,"Grooming Studio","Av. Ing. Roberto Pastoriza 202 Santo Domingo 10121","Santo Domingo","DO","+1 809 683 7878",,"https://www.instagram.com/groomingstudiord?igsh=cngxc3VmcmVoeGQy","physical","active"
138,"Hosp Vet Real","Mata Hambre, La Feria","Santo Domingo","DO","+1 809 535 8872",,"https://www.instagram.com/hospitalveterinarioreal?igsh=Z2Q1Y3BmMzRhZmRt","physical","active"
139,"Pilis Vet","C/ Obras Viales, 1B#, El Millón","Santo Domingo","DO","+1 809 654 3436",,"https://www.instagram.com/pilisvet?igsh=djkyOWNpa3c3bGI0","physical","active"
140,"Pet Medicine","Av. Italia #27, casi esq. Av. José Contreras, Honduras","Santo Domingo","DO","+1 809 532 8981",,"https://www.instagram.com/petmedrd?igsh=czBpMXkwbjdmcHVx","physical","active"
141,"Fundación Pets Breeding","Santo Domingo, República Dominicana","Santo Domingo","DO","+1 809 735 5571",,"https://instagram.com/petsbreedingcontrol","online","active"
142,"Veterinaria Flaquer","Calle Fray Juan de Utera 15, La Romana","La Romana","DO","+1 839 619 5055",,"https://www.instagram.com/veterinariaflaquer?igsh=djltbHRwNnk2ZXk2","physical","active"
143,"Vet Zone","Calle Los Cocos entre la Av. Pedro A. Rivera y carretera Duarte Vieja","Santiago de los Caballeros","DO","+1 849 880 5128",,"https://www.instagram.com/vet_zonelv?igsh=MW9hdm1uM2ZmNzhqZw==","physical","active"
144,"Mocanis","Av. Coronel Lora Fernández, Moca","El Higüerito","DO","+1 809 477 7963",,"https://www.instagram.com/mocaniscv?igsh=ajBsbjN5YzRlaXpt","physical","active"
145,"Sahueso","Calle 16 de Agosto/ Calle Independencia","Santiago de los Caballeros","DO","+1 829 766 1575",,"https://www.instagram.com/sahueso_centro_vet?igsh=cnRtb3hpanFmNmJt","physical","active"
146,"Vet Friendly","Calle Duarte No. 275, Mao","Santa Cruz de Mao","DO","+1 809 572 5265",,"https://www.instagram.com/vetfriendlyrd?igsh=ZnByY3k3NG9meXMx","physical","active"
147,"Faunatika Pet Shop","Carretera Veron-Punta Cana #106, Plaza Casa Holanda, local #1","Punta Cana","DO","+1 809 795 0770",,,"physical","active"
148,"La Paloma",,"Bonao","DO",,,"online","inactive"
149,"Clínica Vet América","Av. Sabana Larga, Santo Domingo Este 11901","Santo Domingo","DO","+1 809 596 8594",,"https://www.instagram.com/clinicaveterinariaamericas","physical","active"
150,"Vet Del Este","Av. Sabana Larga 89, Santo Domingo Este","Santo Domingo Este","DO","+1 809 596 8594",,,"physical","active"
151,"Pet Shop Cachorros Dominicanos","Autop. de San Isidro, Santo Domingo Este, República Dominicana","Santo Domingo Este","DO","+1 849 585 5757",,"https://instagram.cl/cachorrosdominicanos","physical","active"
152,"Vet Serie 23","C. Adolfo Pérez Sánchez 11, San Pedro de Macorís 21000","San Pedro de Macorís","DO","+1 809 246 0202",,"https://www.instagram.com/clinica_veterinaria_serie23/","physical","active"
153,"Clínica Veterinaria Dra. Judy Martinez","Av. Independencia, San Pedro de Macorís 21000","San Pedro de Macorís","DO","+1 809 529 5936",,"https://instagram.com/vetjudymartinez","physical","active"
154,"Coco Dog","Calle 30 de Marzo","Santiago de los Caballeros","DO","+1 829 845 7324",,"https://www.instagram.com/cocodogveterinary?igsh=NGNvbGtjOTRicTkx","physical","active"
155,"Clínica Veterinaria Valar","C. Juan Pablo Duarte, Las Terrenas 32000","Las Terrenas","DO","+1 829 812 2323",,"https://instagram.com/veterinaria.valar","physical","active"
156,"Koketitos Peluqueria de Mascotas","Mella, Higüey 23000","Higüey","DO","+1 829 340 7825",,"https://instagram.com/koketitos_","physical","active"
157,"Veteribaria San Felipe","4 Av. 3-36 Amatitlán Zona 1","Amatitlán","GT","+502 66331249",,,"physical","active"
158,"Mascotas Clínica Veterinaria 912","4 Avenida 4-80 Amatitlán","Amatitlán","GT","+502 59063228",,,"physical","active"
159,"Pet Shop Concentidos y Nuditos","Residénciales Valles de la Mariposa 6ta Av. 2-03","Amatitlán","GT","+502 43771109",,,"physical","active"
160,"Mundo Animal","Local 93 D sector 9 Int. Mercado","Antigua Guatemala","GT","+502 33273749",,,"physical","active"
161,"Galilea","Antigua GT, Sacatepéquez","Antigua GT","GT","+502 53683950",,,"online","inactive"
162,"Pets","5 av. poniente #7 Antigua calzada Santa Lucía, Sacatepéquez","Antigua GT","GT","+502 59063228",,,"online","inactive"
163,"Hospital Veterinario Vet 4Pets","3 calle lote 1A3 zona 6 colonia Sauzalito","Ciudad de Guatemala","GT","+502 59007110",,,"physical","active"
164,"Sucoth Pet Shop","Km. 55.5 Interamericana cc. andaría local 1","CHIMALTENANGO","GT","+502 57380776",,,"physical","active"
165,"Merivet","2 av 1-54 zona 1 Chimaltenango","Chimaltenango","GT","+502 45219901",,,"physical","active"
166,"Veterinaria Santa Luisa","3 calle lote 1A3 zona 6 colonia Sauzalito","Chinautla","GT","+502 35570216",,,"physical","active"
167,"Veterinaria Santa Luisa (2)","3 calle lote 1A3 zona 6 colonia Sauzalito","Chinautla","GT","+502 39576997",,,"online","inactive"
168,"Concentrados Adonai","2 Av. 10-94 zona 1","Escuintla","GT","+502 30807729",,,"physical","active"
169,"Veterinaria Santa María","3 Av. manzana H lote 1 zona 2 alamedas de conacaste","Escuintla","GT","+502 55559443",,,"online","inactive"
170,"Agropecuaria El Rejo","Carr. a El Salvador 01062, Guatemala","Fraijanes","GT","+502 48244470",,,"physical","active"
171,"Premium Pet","2 Av. 34-10 zona 8 Bolivar","Ciudad de Guatemala","GT","+502 58515327",,,"physical","active"
172,"Venta de concentrados Joshua","15A 10-44 Ext. Mercado 3 de Mayo zona 6","Villa Nueva","GT","+502 55114571",,,"physical","active"
173,"Concentrados Spencer","18 Av. D 11-15 Venezuela zona 21","Ciudad de Guatemala","GT","+502 42521109",,,"physical","active"
174,"Pet Shop WR","Canalitos, Cdad. de Guatemala, Guatemala","Ciudad de Guatemala","GT","+502 53696212",,,"physical","inactive"
175,"Centro Veterinario Animal Planet","Diagonal 6 14-30 Oakland zona 10","Ciudad de Guatemala","GT","+502 30994962",,,"physical","active"
176,"Hospital Veterinario","4 calle 20 Av. 4-07 zona 14","Ciudad de Guatemala","GT","+502 32720706",,,"physical","active"
177,"Pet King's C","Centro Comercial el Pulte local 2 zona 16","Ciudad de Guatemala","GT","+502 55553231",,,"physical","active"
178,"K'Ras Pet","35 Calle 24 Av. 35-17 local C, C.C. Piedra Vista Hacienda Real zona 16","Ciudad de GT","GT","+502 32807500",,,"online","inactive"
179,"Hospital Veterinario Exotic","4 calle 4-31 zona 10","Ciudad de GT","GT","+502 31313031",,,"online","inactive"
180,"Corpo Vet","3 calle 3-57 zona 10","Ciudad de GT","GT","+502 30715791",,,"online","inactive"
181,"Hospital Veterinario Médico Vet","12 calle b 38-53 zona 5 Jardines Asunción norte","Ciudad de GT","GT","+502 22285152",,,"online","inactive"
182,"Veterinaria Colindres","Avenida bolivar 31-05 zona 8","Ciudad de GT","GT","+502 24715738",,,"online","inactive"
183,"Happy Dog PET Shop","Diagonal 17 24-40 Avenida Mariscal zona 11 CC Cerca local 04","Ciudad de GT","GT","+502 24421602",,,"online","inactive"
184,"Cento Médico Veterinario Bobadilla","Boulevard VH 16-76 zona 15","Ciudad de GT","GT","+502 55146586",,,"online","inactive"
185,"Cemivet","22 Avenida 34-59 zona 12 Santa Elisa","Ciudad de GT","GT","+502 24417550",,,"online","inactive"
